[2025-04-05_00:54:29] Total Functions: 774, Hited Functions: 247 [ 31.912145% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:31:04] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:32:05] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:33:06] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:34:07] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:35:08] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:36:09] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:37:10] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:38:11] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:39:12] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:40:13] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:41:14] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:42:15] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:43:16] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:44:17] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:45:18] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:46:19] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:47:20] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:48:21] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:49:22] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:50:23] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:51:24] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:52:25] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:53:26] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:54:27] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:55:28] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:56:29] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:57:30] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:58:31] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:59:32] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:00:33] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:01:34] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:02:35] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:03:36] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:04:37] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:05:38] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:06:39] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:07:40] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:08:41] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:09:42] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:10:43] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:11:44] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:12:45] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:13:46] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:14:47] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:15:48] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:16:49] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:17:50] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:18:51] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:19:52] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:20:53] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:21:54] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:22:55] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:23:56] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:24:57] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:25:58] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:26:59] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:28:00] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:29:01] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:30:02] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:31:03] Total Functions: 1295, Hited Functions: 830 [ 64.092664% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:32:04] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:33:05] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:34:06] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:35:07] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:36:08] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:37:09] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:38:10] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:39:11] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:40:12] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:41:13] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:42:14] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:43:15] Total Functions: 1296, Hited Functions: 831 [ 64.120370% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:44:16] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:45:17] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:46:18] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:47:19] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:48:20] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:49:21] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:50:22] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:51:23] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:52:24] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:53:25] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:54:26] Total Functions: 1303, Hited Functions: 838 [ 64.313124% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:55:27] Total Functions: 1303, Hited Functions: 838 [ 64.313124% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:56:28] Total Functions: 1303, Hited Functions: 838 [ 64.313124% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:57:29] Total Functions: 1303, Hited Functions: 838 [ 64.313124% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:58:30] Total Functions: 1303, Hited Functions: 838 [ 64.313124% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_03:59:31] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:00:32] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:01:33] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:02:34] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:03:35] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:04:36] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:05:37] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:06:38] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:07:39] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:08:40] Total Functions: 1304, Hited Functions: 839 [ 64.340491% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:09:41] Total Functions: 1305, Hited Functions: 840 [ 64.367816% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:10:42] Total Functions: 1305, Hited Functions: 840 [ 64.367816% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:11:43] Total Functions: 1305, Hited Functions: 840 [ 64.367816% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:12:44] Total Functions: 1305, Hited Functions: 840 [ 64.367816% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:13:45] Total Functions: 1305, Hited Functions: 840 [ 64.367816% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:14:46] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:15:47] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:16:48] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:17:49] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:18:50] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:19:51] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:20:52] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:21:53] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:22:54] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:23:55] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:24:56] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:25:57] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:26:58] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:27:59] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:29:00] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:30:01] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:31:02] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:32:03] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:33:04] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_04:34:05] Total Functions: 1306, Hited Functions: 841 [ 64.395100% ], Hited Edges: 0, Total Edges: 2056
