[2025-03-29_06:47:49] Total Functions: 170, Hited Functions: 10 [ 5.882353% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:07:07] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:08:08] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:09:09] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:10:10] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:11:11] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:12:12] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:13:13] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:14:14] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:15:15] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:16:16] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:17:17] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:18:18] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:19:19] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:20:20] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:21:21] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:22:22] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:23:23] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:24:24] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:25:25] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:26:26] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:27:27] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:28:28] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:29:29] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:30:30] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:31:31] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:32:32] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:33:33] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:34:34] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:35:35] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:36:36] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:37:37] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:38:38] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:39:39] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:40:40] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:41:41] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:42:42] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:43:43] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:44:44] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:45:45] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:46:46] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:47:47] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:48:48] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:49:49] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:50:50] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:51:51] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:52:52] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:53:53] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:54:54] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:55:55] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:56:56] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:57:57] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:58:58] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_08:59:59] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:01:00] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:02:01] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:03:02] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:04:03] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:05:04] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:06:05] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:07:06] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:08:07] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:09:08] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:10:09] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:11:10] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:12:11] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:13:12] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:14:13] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:15:14] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:16:15] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:17:16] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:18:17] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:19:18] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:20:19] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:21:20] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:22:21] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:23:22] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:24:23] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:25:24] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:26:25] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:27:26] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:28:27] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:29:28] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:30:29] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:31:30] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:32:31] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:33:32] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:34:33] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:35:34] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:36:35] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:37:36] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:38:37] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:39:38] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:40:39] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:41:40] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:42:41] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:43:42] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:44:43] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:45:44] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:46:45] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:47:46] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:48:47] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:49:48] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:50:49] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:51:50] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:52:51] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:53:52] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:54:53] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:55:54] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:56:55] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:57:56] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:58:57] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_09:59:58] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:00:59] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:02:00] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:03:01] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:04:02] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:05:03] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:06:04] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:07:05] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:08:06] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:09:07] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:10:08] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:11:09] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:12:10] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:13:11] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:14:12] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:15:13] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:16:14] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:17:15] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:18:16] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:19:17] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:20:18] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:21:19] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:22:20] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:23:21] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:24:22] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:25:23] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:26:24] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:27:25] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:28:26] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:29:27] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:30:28] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:31:29] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:32:30] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:33:31] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
[2025-03-29_10:34:32] Total Functions: 216, Hited Functions: 63 [ 29.166667% ], Hited Edges: 0, Total Edges: 240
